"","Title","PID","Description","alttitle","publisher","date","item","key","resource","topic","geo"
"494","Arnold's Shoes Awning","grinnell:21486","Detail of Arnold's Shoes awning and glass transom above the door. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.21, slide 13.",NA,"Poweshiek History Preservation Project",1988,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business","still image","Central business districts, Eagle Block (Grinnell, Iowa), Arnold's Shoes Incorporated (Grinnell, Iowa)","Grinnell (Iowa)"
"495","Arnold's Shoes and D &amp; T Family Shoes","grinnell:21484","Arnold's Shoes Inc. and D & T Family Shoes at 803 and 805 Fourth Avenue in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.21, slide 11.",NA,"Poweshiek History Preservation Project",1987,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1980s, Business","still image","Central business districts, Arnold's Shoes Incorporated (Grinnell, Iowa), D & T Family Shoes (Grinnell, Iowa), Automobiles","Grinnell (Iowa)"
"496","Around About Keota, Iowa","grinnell:15660","Around About Keota, Iowa",NA,NA,NA,NA,NA,"still image","Animals, Buffalo, Agricultural facilities",NA
"497","Arrival in Bath 1984","grinnell:5617","Grinnell-in-London arrival in Bath.",NA,"Grinnell College",1984,"Digital Grinnell","grinnell in london, Bath","Photograph",NA,NA
"498","Art Class","grinnell:20117","On far left is Kiri Nomtvedt, Man on the right is Thom Barthelamos, far right Shelley Reid.",NA,"Grinnell College",1988,"Digital Grinnell","Students, Art, Classroom","still image",NA,"Grinnell (Iowa)"
"499","Art Class","grinnell:20109","Student sits near window and draws with charcol. Julee (Brown) Tanner is in this photo, possibly 1988.",NA,"Grinnell College",1988,"Digital Grinnell","Students, Art","still image",NA,"Grinnell (Iowa)"
"500","Art Project","grinnell:5174","Photo of a student working on an art project.",NA,"Grinnell College",1974,"Digital Grinnell",NA,"Photograph",NA,"Grinnell (Iowa)"
"501","Art class with Professor Louis Zirkle, 1977","grinnell:19881","Art class with Professor Louis Zirkle. Student in fair ilse sweater is Roy, class of 1978 or 1979.",NA,"Grinnell College",1977,"Digital Grinnell","students, Professors, Dance Studio","still image",NA,"Grinnell (Iowa)"
"502","Arthur McDowell Interview","grinnell:23310","One of nine children, Art was born south of Grinnell on June 22, 1902. After graduating from high school and working for three years at the Farmer's Elevator, he began his career in insurance. Upon retirement, he was Secretary-Treasurer of the Poweshiek County Mutual Insurance Company. He and his wife, Mildred, married in 1930, had a son and daughter.","Voices from the Past","Poweshiek History Preservation Project",1992,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, Business, Agriculture, 1920s, 1930s, 1940s, 1950s, 1960s, 1970s","sound recording-nonmusical","Insurance agents, Farmers, Depressions, World War (1939-1945)","Grinnell (Iowa)"
"503","Articles of Association of the Trustees of Iowa College","grinnell:81","1847 copy/draft of the rules and regulations governing the establishment of Iowa College","Articles of Association and Rules of Organization, Articles of Association","Grinnell College",1847,"Early College History, Iowa College, Digital Grinnell",NA,"Institutional Records","Iowa College (Davenport, Iowa), By-laws","Davenport (Iowa)"
"504","Articles of Association of the Trustees of Iowa College","grinnell:75","Document detailing rules and regulations for the establishment of Iowa College that was filed in Davenport.","Articles of Association","Grinnell College",1847,"Iowa College, Early College History",NA,"Institutional Records","Iowa College (Davenport, Iowa), By-laws","Davenport (Iowa)"
"505","Articles of Association of the Trustees of Iowa College (Typescript)","grinnell:82","1960 mimeograph copy of 1847rules and regulations governing the establishment of Iowa College","Articles of Association 1847 (Typescript)","Grinnell College",1960,"Iowa College",NA,"Institutional Records","Iowa College (Davenport, Iowa), By-laws","Davenport (Iowa)"
"506","Articles of Incorporation","grinnell:76","Original 1856 document detailing the rules and regulations for the establishment of Grinnell University",NA,"Grinnell College",1856,"Early College History, Digital Grinnell",NA,"text","Grinnell University., Iowa College (Grinnell), By-laws","Grinnell (Iowa)"
"507","Articles of Incorporation of the Trustees of the Grinnell Literary Fund, P.C. Iowa","grinnell:83","Typed copy of the Articles of Incorporation for the Grinnell Literary Fund from January 1855","Articles of Incorporation of the Grinnell Literary Fund","Grinnell College",1960,"Early College History, Digital Grinnell",NA,"Institutional Records","By-laws, Grinnell Literary Fund (Grinnell)","Grinnell (Iowa)"
"508","Arts and Crafts at Grinnell Community Daycare Center","grinnell:20500","Arts and crafts at the Grinnell Community Daycare Center in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Imagine Grinnell Slides, p.30, slide 8.",NA,"Poweshiek History Preservation Project",1988,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1980s, Organizations","still image","Children, Day care centers, Grinnell Community Daycare Center (Grinnell, Iowa)","Grinnell (Iowa)"
"509","Arts and Crafts with Grinnell Community Daycare Center","grinnell:20501","Woman helps a boy with his arts and crafts project at the Grinnell Community Daycare Center in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Imagine Grinnell Slides, p.30, slide 10.",NA,"Poweshiek History Preservation Project",1988,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1980s, Organizations","still image","Children, Day care centers, Grinnell Community Daycare Center (Grinnell, Iowa)","Grinnell (Iowa)"
"510","Asian/Asian-American Professors in Academic Q&A Panel","grinnell:23193","Announcing a panel discussion by Asian/Asian American professors at Grinnell.",NA,"Grinnell College",2018,"Digital Grinnell, Campus Events",NA,"Text","Asian American college teachers","Grinnell (Iowa)"
"511","Assembly of God Congregation","grinnell:6381","The congregation of the Assembly of God church in Grinnell, Iowa, in 1931-32. The church building was originally the post office in Gilman, Iowa, and was moved to 619 Broad Street in the early 1930s. The following list of names does not include all of the people and they are not necessarily in the correct order. At doors, left to right: Anna Figland (in dark hat), Theodore Olson, Elizabeth Olson, [unidentified], Ray Holland (holding child), [unidentified]. Standing, back row: Mrs. Belcher, Clara Davenport, [unidentified], Mrs. Graham. Middle row: Mary Wright, Viola Schooley, Bessie McGrew, Mrs. Holland, Della Woods, Fred Taylor, [unidentified], [unidentified], Austin Olson, Henry Olson, Edward Wright. Front row: Holland boys, Arelna Fleener, [unidentified children], Mrs. Harper (center shorter woman), Mrs. Harper, Raymond Davenport, Buela Spules, Mrs. Klowyk (sp?), Helen Bordiard, Herb Wyss, Beulah Wyss, T.W. Stark, Florence (Flossie) Bell, Carmen Wyss, Jessie Holland, George Driscoll. Children in front: Bobby Wyss, Olan Teterman, Ross Wyss, Beverly Lunn.",NA,"Poweshiek History Preservation Project",1932,"Digital Grinnell, Poweshiek History Preservation Project","1930s, Grinnell, Organizations","still image","Assemblies of God buildings, Assembly of God (Grinnell, Iowa)","Grinnell (Iowa)"
"512","Assembly of God Parade","grinnell:6384","Parade with Assembly of God members looking south on Broad Street across from Central Park in Grinnell, Iowa. Businesses in background include: Smith's Furniture and Undertaking, Percy Goff Insurance (923 1/2 Broad), Blue Bird Cafe (bus depot), a hardware store, I.S.U. Co. Public Service. Smith Furniture was in this location from August 1925 through April 1947.",NA,"Poweshiek History Preservation Project",1933,"grinnell-collection:1, grinnell-collection:30","1930s, Grinnell, Business, Organizations","Image","Parades, Assembly of God (Grinnell, Iowa), Central business districts","Grinnell (Iowa)"
"513","Assembly of God Pastors","grinnell:6389","List of pastors who served the Assemblies of God churches in Grinnell, Iowa, from the time they were incorporated in 1934 until the time they closed in 2009. The First Assembly of God was located at 619 Broad Street. The Glad Tidings Assembly of God was located in the former Baptist church at the northeast corner of 4th Avenue and Park Street.",NA,"Poweshiek History Preservation Project",2009,"grinnell-collection:1, grinnell-collection:30","2000s, Grinnell, Organizations","Text","Assemblies of God -- Clergy, First Assembly of God (Grinnell, Iowa), Glad Tidings Assembly of God (Grinnell, Iowa)","Grinnell (Iowa)"
"514","Assessor's Book, Madison Township, Poweshiek County, Iowa, 1899","grinnell:17701","The Madison Township, Poweshiek County, Iowa, assessor's book for 1899. Information listed for each family includes: name of head of household, number and sex of dogs owned, school district number, description and value of land owned, number, type and value of horses, mules, cattle, swine and sheep owned, number and value of vehicles owned, other personal property and post office address. The final ""Recapitulation"" sheets give totals and values for the entire township. The book was found in Madison #5 School (the White Cloud School). It has no cover and begins with a blank page. There are 26 double page spreads with data. There are no pages numbered 27 or 28 and page 29 is blank. There are two Recapitulation sheets at the end with data and one blank Recapitulation sheet.",NA,"Poweshiek History Preservation Project",1899,"Digital Grinnell, Poweshiek History Preservation Project","1890s, Madison, Agriculture","text","Agriculture -- Statistics, Appraisers","Madison (Poweshiek County, Iowa : Township)"
"515","Association Building, [Grinnell] College, Grinnell, Iowa","grinnell:13637","Looking east from Park Street. Steiner Hall was originally intended to house the Y.M.C.A. and Y.W.C.A. programs (named the Association Building). It later housed office, seminar rooms and classrooms. The building was constructed in 1906 at a cost of approximately $10,000 and renovated in 1977 and 1991-92. 1912 postmark. Number 32.",NA,"KRUXO",1912,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Educational facilities, Lecture halls, Grinnell College",NA
"516","Association Room, Christian Associations Building, Grinnell College, Grinnell, Iowa","grinnell:13486","Interior room with fireplace.","Steiner Hall, Iowa College",NA,1909,"Ivan Sheets Collection",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Educational facilities, Youth organizations, Grinnell College",NA
"517","Association Room, Christian Associations Building, Iowa College, Grinnell, Iowa","grinnell:13474","Interior room with fireplace. 1909 postmark.","Steiner Hall, Grinnell College",NA,1909,"Ivan Sheets Collection",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Educational facilities, Youth organizations, Grinnell College, Iowa College (Grinnell)",NA
"518","Astir-Switzer's Motel","grinnell:11641","Color postcard view of Astir-Switzer's Motel on Highway 6 East, in Grinnell, Iowa. Managed by Lowell and Margaret Corkery. Postcard published by ColourPicture Publishers, Inc., Boston, Massachusetts. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings.",NA,NA,NA,NA,NA,"still image",NA,NA
"519","At Lakewood, Lake View, Iowa","grinnell:15541","At Lakewood, Lake View, Iowa",NA,"L.L. Cook Co., Milwaukee, [Wis.]",NA,NA,NA,"still image","Parks, Lakes and ponds, Boats, Motorboats",NA
"520","Athletics Awards, 1957-1961","grinnell:20018","Athletes with awards in different sports. Middle: Jim Lowry, class of 1961.",NA,"Grinnell College",1957,"Digital Grinnell","Athletics, Awards","still image",NA,"Grinnell (Iowa)"
"521","Atomic Homecoming Decorations","grinnell:5657","""Let Us Atom"" Homecoming decorations.","Let us atomize","Grinnell College",1956,"Digital Grinnell, Life at Grinnell College","homecoming, decorations, atomic bomb","still image","Football, Grinnell College","Grinnell (Iowa)"
"522","Audience at Basketball game","grinnell:23607","Audience at a basketball game",NA,"Grinnell College",2007,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Athletics","still image",NA,"Grinnell (Iowa)"
"523","Auditorium","grinnell:23556","Students listening in class",NA,"Grinnell College",1960,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Classroom, Lecture","still image",NA,"Grinnell (Iowa)"
"524","Auditorium and north entrance to high school, Maquoketa, Iowa","grinnell:13978","Number 112464.",NA,"Curteich & Co. (Chicago, Ill.)",1935,"Ivan Sheets Collection",NA,"still image","Jackson County (Iowa), Maquoketa (Iowa), Educational facilities, Public schools, Auditoriums",NA
"525","Auditorium, Cedar Rapids, Iowa","grinnell:13504","The Auditorium was built around the turn of the century on North 1st Street near the site of the town's first grist mill. It was used for large platform meetings, an exhibition hall and later as a skating rink. Listed in the National Register of Historic Places. Number 1346.","Colonial Opera House, Colonial Theatre, Colonial Theater","Souvenir Post Card Co. (St. Louis, [Mo.])",1910,"Iowa Historical Postcard Collection (IHPC)","217 4th Avenue, SE, Cedar Rapids, Linn County, Iowa","still image","Linn County (Iowa), Cedar Rapids (Iowa), Auditoriums, Cultural facilities, Lattner Auditorium",NA
"526","Audubon County Court House, built 1939, Audubon, Iowa","grinnell:13919","Looking southeast at a two-story brick & stone building completed in 1940 costing approximately $139,000. The second Audubon County Court House is one of ten courthouses built in Iowa during the federal Public Works Administration (PWA) program's operation in the 1930s. The county seat moved in 1879 to Audubon and in 1884 the county secured a $7,000 building to used as a courthouse and was demolished in 1939. Located at 318 Leroy Street, Audubon, Audubon County, Iowa. Listed in the National Register of Historic Places. ""VOTE YES on FEB. 10th and put the County Seat at CLARKFIELD, THE GEOGRAPHICAL CENTER.""--t.p. verso.","Audubon County Courthouse","EKC",1943,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Audubon (Iowa), Advertising cards, Government facilities, Courthouses, Political elections, Voting, Audubon County (Iowa), Jenssen Photo",NA
